消息发生时间,[消息发布时间][时间_系统RTC],[消息发布者ID][功能单元ID],[主备状态],[数据生成时间][时间_任务时间],[数据生成时间1][时间_任务时间],[有效性_俯仰角],[有效性_横滚角],[有效性_真航角],[有效性_俯仰角速率],[有效性_横滚角速率],[有效性_航向角速率],[有效性_俯仰角加速度],[有效性_横滚角加速度],[有效性_航向角加速度],[有效性_速度北向],[有效性_速度西向],[有效性_速度天向],[有效性_加速度北向],[有效性_加速度西向],[有效性_加速度天向],[有效性_惯性攻角],[有效性_惯性侧滑角],[有效性_偏流角],[有效性_航迹角],[有效性_位置],[有效性_惯性气压高度],[有效性_地速],[载机俯仰角][_角度_毫弧度],[载机横滚角][_角度_毫弧度],[载机真航角][_角度_毫弧度],[载机俯仰角速率][_角速率],[载机横滚角速率][_角速率],[载机航向角速率][_角速率],[载机俯仰角加速度][_角加速度],[载机横滚角加速度][_角加速度],[载机航向角加速度][_角加速度],[载机平台系速度][速度_北向][_速度],[载机平台系速度][速度_西向][_速度],[载机平台系速度][速度_天向][_速度],[载机平台系加速度][加速度_北向][_加速度],[载机平台系加速度][加速度_西向][_加速度],[载机平台系加速度][加速度_天向][_加速度],[载机惯性攻角][_角度_毫弧度],[载机侧滑角][_角度_毫弧度],[载机偏流角][_角度_毫弧度],[载机航迹角][_角度_毫弧度],[载机爬升角][_角度_毫弧度],[载机位置数据][_纬度],[载机位置数据][_经度],[载机惯性气压高度][_高度],[载机惯性气压参考高度][_高度],[载机地速][_速度]
02:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,51.98669331,4.975020826,1100,0.980066578,-0.049916708,50,0.1,0.1,0.1,254,-11,5.2,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9002,116.4002,4020,4000,254.2380774
02:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.18229623,4.96978049,1110,0.975897449,-0.05488915,50,0.1,0.1,0.1,254.4,-11.1,5.22,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90022,116.40022,4022,4000,254.6420429
02:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.37702626,4.964043179,1120,0.971337975,-0.059856104,50,0.1,0.1,0.1,254.8,-11.2,5.24,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90024,116.40024,4024,4000,255.0460351
02:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.57080552,4.957809469,1130,0.966389978,-0.064817071,50,0.1,0.1,0.1,255.2,-11.3,5.26,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90026,116.40026,4026,4000,255.4500538
02:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.76355649,4.951079981,1140,0.961055438,-0.069771557,50,0.1,0.1,0.1,255.6,-11.4,5.28,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90028,116.40028,4028,4000,255.854099
03:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,52.95520207,4.94385539,1150,0.955336489,-0.074719066,50,0.1,0.1,0.1,256,-11.5,5.3,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9003,116.4003,4030,4000,256.2581706
03:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.14566561,4.936136417,1160,0.949235418,-0.079659103,50,0.1,0.1,0.1,256.4,-11.6,5.32,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90032,116.40032,4032,4000,256.6622684
03:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.33487092,4.927923835,1170,0.942754666,-0.084591175,50,0.1,0.1,0.1,256.8,-11.7,5.34,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90034,116.40034,4034,4000,257.0663922
03:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.52274233,4.919218464,1180,0.935896824,-0.089514787,50,0.1,0.1,0.1,257.2,-11.8,5.36,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90036,116.40036,4036,4000,257.470542
03:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.70920469,4.910021176,1190,0.928664636,-0.094429447,50,0.1,0.1,0.1,257.6,-11.9,5.38,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90038,116.40038,4038,4000,257.8747176
04:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,53.89418342,4.900332889,1200,0.921060994,-0.099334665,50,0.1,0.1,0.1,258,-12,5.4,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9004,116.4004,4040,4000,258.278919
04:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.07760453,4.890154574,1210,0.91308894,-0.10422995,50,0.1,0.1,0.1,258.4,-12.1,5.42,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90042,116.40042,4042,4000,258.683146
04:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.25939465,4.879487247,1220,0.904751663,-0.109114812,50,0.1,0.1,0.1,258.8,-12.2,5.44,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90044,116.40044,4044,4000,259.0873984
04:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.43948107,4.868331975,1230,0.896052498,-0.113988762,50,0.1,0.1,0.1,259.2,-12.3,5.46,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90046,116.40046,4046,4000,259.4916762
04:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.61779176,4.856689874,1240,0.886994923,-0.118851313,50,0.1,0.1,0.1,259.6,-12.4,5.48,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90048,116.40048,4048,4000,259.8959792
05:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.79425539,4.844562109,1250,0.877582562,-0.12370198,50,0.1,0.1,0.1,260,-12.5,5.5,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9005,116.4005,4050,4000,260.3003073
05:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,54.96880138,4.831949891,1260,0.86781918,-0.128540276,50,0.1,0.1,0.1,260.4,-12.6,5.52,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90052,116.40052,4052,4000,260.7046605
05:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.14135992,4.818854482,1270,0.857708681,-0.133365718,50,0.1,0.1,0.1,260.8,-12.7,5.54,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90054,116.40054,4054,4000,261.1090385
05:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.31186198,4.805277192,1280,0.847255111,-0.138177824,50,0.1,0.1,0.1,261.2,-12.8,5.56,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90056,116.40056,4056,4000,261.5134413
05:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.48023937,4.791219378,1290,0.83646265,-0.142976113,50,0.1,0.1,0.1,261.6,-12.9,5.58,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90058,116.40058,4058,4000,261.9178688
06:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.64642473,4.776682446,1300,0.825335615,-0.147760103,50,0.1,0.1,0.1,262,-13,5.6,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9006,116.4006,4060,4000,262.3223208
06:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.81035161,4.761667849,1310,0.813878457,-0.152529318,50,0.1,0.1,0.1,262.4,-13.1,5.62,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90062,116.40062,4062,4000,262.7267973
06:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.97195441,4.74617709,1320,0.802095758,-0.15728328,50,0.1,0.1,0.1,262.8,-13.2,5.64,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90064,116.40064,4064,4000,263.131298
06:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.13116852,4.730211718,1330,0.789992231,-0.162021514,50,0.1,0.1,0.1,263.2,-13.3,5.66,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90066,116.40066,4066,4000,263.535823
06:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.28793024,4.713773328,1340,0.777572719,-0.166743546,50,0.1,0.1,0.1,263.6,-13.4,5.68,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90068,116.40068,4068,4000,263.9403721
07:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.44217687,4.696863564,1350,0.764842187,-0.171448904,50,0.1,0.1,0.1,264,-13.5,5.7,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9007,116.4007,4070,4000,264.3449451
07:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.59384672,4.679484118,1360,0.751805729,-0.176137117,50,0.1,0.1,0.1,264.4,-13.6,5.72,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90072,116.40072,4072,4000,264.749542
07:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.74287912,4.661636728,1370,0.738468559,-0.180807716,50,0.1,0.1,0.1,264.8,-13.7,5.74,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90074,116.40074,4074,4000,265.1541627
07:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,56.88921445,4.643323178,1380,0.724836011,-0.185460235,50,0.1,0.1,0.1,265.2,-13.8,5.76,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90076,116.40076,4076,4000,265.558807
07:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.03279419,4.624545299,1390,0.710913538,-0.190094208,50,0.1,0.1,0.1,265.6,-13.9,5.78,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90078,116.40078,4078,4000,265.9634749
08:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.17356091,4.60530497,1400,0.696706709,-0.194709171,50,0.1,0.1,0.1,266,-14,5.8,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9008,116.4008,4080,4000,266.3681663
08:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.3114583,4.585604114,1410,0.682221207,-0.199304664,50,0.1,0.1,0.1,266.4,-14.1,5.82,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90082,116.40082,4082,4000,266.7728809
08:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.4464312,4.565444702,1420,0.667462826,-0.203880227,50,0.1,0.1,0.1,266.8,-14.2,5.84,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90084,116.40084,4084,4000,267.1776188
08:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.57842563,4.544828748,1430,0.652437468,-0.208435401,50,0.1,0.1,0.1,267.2,-14.3,5.86,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90086,116.40086,4086,4000,267.5823798
08:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.70738879,4.523758316,1440,0.637151144,-0.212969733,50,0.1,0.1,0.1,267.6,-14.4,5.88,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90088,116.40088,4088,4000,267.9871639
09:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.8332691,4.502235512,1450,0.621609968,-0.217482767,50,0.1,0.1,0.1,268,-14.5,5.9,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9009,116.4009,4090,4000,268.3919708
09:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,57.9560162,4.480262488,1460,0.605820157,-0.221974053,50,0.1,0.1,0.1,268.4,-14.6,5.92,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90092,116.40092,4092,4000,268.7968006
09:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.075581,4.457841441,1470,0.589788025,-0.226443143,50,0.1,0.1,0.1,268.8,-14.7,5.94,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90094,116.40094,4094,4000,269.201653
09:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.19191568,4.434974614,1480,0.573519986,-0.230889588,50,0.1,0.1,0.1,269.2,-14.8,5.96,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90096,116.40096,4096,4000,269.6065281
09:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.3049737,4.411664293,1490,0.557022547,-0.235312944,50,0.1,0.1,0.1,269.6,-14.9,5.98,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90098,116.40098,4098,4000,270.0114257
10:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.41470985,4.387912809,1500,0.540302306,-0.239712769,50,0.1,0.1,0.1,270,-15,6,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.901,116.401,4100,4000,270.4163457
10:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.52108022,4.363722538,1510,0.523365951,-0.244088623,50,0.1,0.1,0.1,270.4,-15.1,6.02,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90102,116.40102,4102,4000,270.8212879
10:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.62404227,4.339095898,1520,0.506220257,-0.248440069,50,0.1,0.1,0.1,270.8,-15.2,6.04,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90104,116.40104,4104,4000,271.2262524
10:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.72355482,4.314035353,1530,0.488872082,-0.252766671,50,0.1,0.1,0.1,271.2,-15.3,6.06,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90106,116.40106,4106,4000,271.631239
10:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.81957807,4.288543407,1540,0.471328364,-0.257067996,50,0.1,0.1,0.1,271.6,-15.4,6.08,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90108,116.40108,4108,4000,272.0362476
11:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,58.9120736,4.26262261,1550,0.453596121,-0.261343614,50,0.1,0.1,0.1,272,-15.5,6.1,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9011,116.4011,4110,4000,272.4412781
11:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.00100442,4.236275555,1560,0.435682446,-0.265593099,50,0.1,0.1,0.1,272.4,-15.6,6.12,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90112,116.40112,4112,4000,272.8463304
11:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.08633496,4.209504876,1570,0.417594504,-0.269816024,50,0.1,0.1,0.1,272.8,-15.7,6.14,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90114,116.40114,4114,4000,273.2514044
11:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.16803109,4.18231325,1580,0.399339529,-0.274011968,50,0.1,0.1,0.1,273.2,-15.8,6.16,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90116,116.40116,4116,4000,273.6565
11:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.24606012,4.154703396,1590,0.380924824,-0.278180511,50,0.1,0.1,0.1,273.6,-15.9,6.18,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90118,116.40118,4118,4000,274.0616172
12:00.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.32039086,4.126678075,1600,0.362357754,-0.282321237,50,0.1,0.1,0.1,274,-16,6.2,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.9012,116.4012,4120,4000,274.4667557
12:12.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.39099356,4.098240089,1610,0.343645746,-0.28643373,50,0.1,0.1,0.1,274.4,-16.1,6.22,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90122,116.40122,4122,4000,274.8719156
12:24.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.45783999,4.069392283,1620,0.324796284,-0.29051758,50,0.1,0.1,0.1,274.8,-16.2,6.24,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90124,116.40124,4124,4000,275.2770968
12:36.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.52090342,4.040137542,1630,0.305816908,-0.294572379,50,0.1,0.1,0.1,275.2,-16.3,6.26,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90126,116.40126,4126,4000,275.682299
12:48.0,1.74958E+12,FU_025,0,1.74954E+12,1.74955E+12,1,1,1,1,1,1,0.1,0.1,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,59.5801586,4.010478789,1640,0.28671521,-0.298597721,50,0.1,0.1,0.1,275.6,-16.4,6.28,2,-0.5,0.1,1.5,0.2,3,45,2.5,39.90128,116.40128,4128,4000,276.0875224
