消息发生时间,[消息发布时间][时间_系统RTC],[消息发布者ID][功能单元ID],[主备状态],[数据生成时间][时间_任务时间],[数据生成时间1][时间_任务时间],[有效性_俯仰角],[有效性_横滚角],[有效性_真航角],[有效性_俯仰角速率],[有效性_横滚角速率],[有效性_航向角速率],[有效性_俯仰角加速度],[有效性_横滚角加速度],[有效性_航向角加速度],[有效性_速度北向],[有效性_速度西向],[有效性_速度天向],[有效性_加速度北向],[有效性_加速度西向],[有效性_加速度天向],[有效性_惯性攻角],[有效性_惯性侧滑角],[有效性_偏流角],[有效性_航迹角],[有效性_位置],[有效性_惯性气压高度],[有效性_地速],[载机俯仰角][_角度_毫弧度],[载机横滚角][_角度_毫弧度],[载机真航角][_角度_毫弧度],[载机俯仰角速率][_角速率],[载机横滚角速率][_角速率],[载机航向角速率][_角速率],[载机俯仰角加速度][_角加速度],[载机横滚角加速度][_角加速度],[载机航向角加速度][_角加速度],[载机平台系速度][速度_北向][_速度],[载机平台系速度][速度_西向][_速度],[载机平台系速度][速度_天向][_速度],[载机平台系加速度][加速度_北向][_加速度],[载机平台系加速度][加速度_西向][_加速度],[载机平台系加速度][加速度_天向][_加速度],[载机惯性攻角][_角度_毫弧度],[载机侧滑角][_角度_毫弧度],[载机偏流角][_角度_毫弧度],[载机航迹角][_角度_毫弧度],[载机爬升角][_角度_毫弧度],[载机位置数据][_纬度],[载机位置数据][_经度],[载机惯性气压高度][_高度],[载机惯性气压参考高度][_高度],[载机地速][_速度]
08:34.0,1.74959E+12,FU_071,1,1.74953E+12,1.74955E+12,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,2083.01,-1785.41,-938.86,1.786,-11.423,75.167,-17.867,-24.521,-45.658,86.34,-92.44,767.46,-20.772,-9.602,14.473,2905.6,-1260.41,-1968.66,3057.07,2349.25,-69.856468,-29.910069,4833.8,1889.1,389.04
17:43.6,1.7496E+12,FU_081,0,1.74954E+12,1.7496E+12,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,-879.8,744.39,927.14,-73.386,-77.337,-51.154,-41.271,37.537,42.129,747.36,-11.12,-195.77,-18.799,-18.774,-14.196,453.19,1774.88,1041.56,-122.96,1170.83,-7.324869,67.886807,4916.8,566.5,568.66
33:55.1,1.74956E+12,FU_003,1,1.74951E+12,1.74951E+12,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,-3002.93,-18.21,-3075.27,-16.094,73.465,82.842,7.806,-27.971,-32.817,-113.07,-441.6,249.01,-23.485,30.105,18.892,2631.94,-419.76,1118.5,677.4,-1537.95,13.135427,164.001489,9097.9,7987.2,510.44
32:45.8,1.74954E+12,FU_037,1,1.74957E+12,1.74955E+12,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,-829.47,-1245.83,-2323.81,8.552,53.073,-55.398,-44.506,33.198,34.669,-240.41,-168.14,94.66,49.649,45.832,-5.702,1221.78,-143.91,791.16,385.54,1985.38,-7.590777,-167.029633,3903.7,6892.3,986.18
01:42.6,1.74959E+12,FU_050,0,1.74957E+12,1.74959E+12,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,-2623.6,2756.84,753.18,24.432,-31.971,69.095,-11.535,4.42,-40.604,-4.09,-375.36,257.57,-17.18,-47.069,35.634,-1384.49,1017.24,-198.41,2337.88,887.54,-31.446132,-168.904216,9248.5,6117.5,45.49
33:50.7,1.74955E+12,FU_024,1,1.74955E+12,1.74956E+12,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,321.12,657.38,1044.19,-83.402,15.889,97.011,14.286,35.946,18.788,-477.12,-405.64,630.41,12.866,34.711,6.245,486.35,1818.57,-2583.03,2650.22,210.91,46.767886,88.105564,9287.5,8098.8,612.14
02:06.1,1.74953E+12,FU_033,1,1.74951E+12,1.74951E+12,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,-364.29,-2855.83,767.25,4.516,-58.805,-11.09,-21.208,6.957,33.824,729.58,606.32,-387.31,11.581,-39.905,-26.423,937.92,2066.22,1168.17,1333.81,-1783.05,-43.503632,141.174128,9790.9,2661,988.97
49:30.1,1.74953E+12,FU_045,1,1.74957E+12,1.74952E+12,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,-1978.92,-2192.38,2075.64,95.998,71.554,44.887,-19.789,10.536,-30.169,-150.42,361.4,205.98,35.392,44.098,31.771,1787.17,-2301.41,-1423.86,2901.61,1412.48,54.610126,48.760514,1103.3,9713.7,979.66
49:22.1,1.74951E+12,FU_044,0,1.74958E+12,1.74952E+12,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1579.77,2668.28,2086.65,-6.539,-1.588,-6.843,-46.252,17.3,-38.947,777.56,300.57,-225.67,48.598,-3.099,-20.078,-2397.19,1557.31,272.62,-1290.65,-1358.68,-28.348632,31.718127,428.2,7160.4,173.03
26:50.7,1.7495E+12,FU_094,0,1.74959E+12,1.74958E+12,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,-1504.29,2156.06,-2153.9,-96.803,8.4,93.117,2.025,8.937,20.981,-198.2,-416.02,951.85,12.092,-16.843,-16.807,2130.41,-295.71,-2544.02,3065.95,348.87,-78.665193,-42.463727,168.3,9564.1,661.49
26:25.4,1.74955E+12,FU_029,0,1.74956E+12,1.74955E+12,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,965.98,-1294,-182.82,-62.947,72.984,36.52,11.184,13.138,-7.078,908.76,910.13,55.51,0.606,28.177,45.414,-1536.02,1262.59,1715.64,-3057.9,1353.11,22.64603,-33.438215,8451.4,3317,424.8
09:59.1,1.74952E+12,FU_098,1,1.74958E+12,1.74955E+12,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,-1529.28,-2328.53,1418.05,-1.194,-96.824,26.133,-29.75,-33.078,-10.952,642.16,-988.79,366.56,-2.371,28.906,49.13,-524.74,-1585.15,-2769.66,-21.62,1309.58,-31.324158,-146.230176,1935,1378,871.69
27:58.2,1.7496E+12,FU_063,1,1.74956E+12,1.74955E+12,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,-1262.66,1091.71,2477.91,-8.095,-82.41,-65.788,13.027,13.797,-30.623,-25.96,-368.69,761.9,-45.685,19.522,7.432,2185.93,-1166.73,-652.66,1842.7,2069.97,-55.375331,-41.976926,6929.8,2583.8,873.65
35:43.5,1.7496E+12,FU_036,0,1.7495E+12,1.74958E+12,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,-799.61,-244.25,-1183.5,79.18,79.5,-38.032,-28.504,3.698,-33.988,84.97,-262.12,-518.01,45.531,-48.668,-44.393,663.44,2269.62,1911.07,1818.39,1911.27,43.062817,159.869381,8015.1,7009,157.05
24:21.3,1.74952E+12,FU_039,0,1.7496E+12,1.74954E+12,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2077.3,-1769.07,-410.02,-56.519,-87.34,11.283,-3.119,-42.681,43.488,547.31,23.72,-507.94,-35.924,30.755,-7.678,2243.19,-2168.37,1583.46,-1814.71,1518.75,75.277821,-46.698339,498.8,7053.6,2.94
57:24.7,1.74951E+12,FU_020,1,1.74958E+12,1.74956E+12,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1052.24,-1283.11,755.71,9.488,25.429,7.85,-30.556,22.286,-9.882,-552.61,610.72,-574.81,-42.758,-22.799,-49.946,1512.72,-1889.49,-1812.41,1006.67,-2278.55,-18.345704,91.647511,1476.2,9565.9,618.15
34:43.5,1.74953E+12,FU_062,1,1.74955E+12,1.74955E+12,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,-208.27,-1638.24,2646.74,98.518,-96.958,-71.884,-42.727,-37.089,-40.988,329.5,-103.23,260.77,-42.904,20.33,46.347,-722.16,-1157.47,2598.77,-1463.45,-2920.63,-40.560553,87.581527,7485.4,7541.3,765.43
30:12.0,1.74956E+12,FU_082,0,1.74959E+12,1.74953E+12,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2072.2,-1415.35,831.06,27.114,12.97,-55.292,12.46,18.907,-41.653,571.74,358.22,-256.38,42.151,-22.074,23.869,-900.98,-1910.47,-1037.28,-1170.57,71.19,-15.986115,-151.774671,6094.1,4769.2,301.92
07:10.0,1.74954E+12,FU_036,1,1.74956E+12,1.74959E+12,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,177.64,1422.66,-1056,-52.94,-43.457,49.774,-49.294,43.358,46.304,-773.87,-969.61,573.91,-19.146,-9.136,7.929,951.41,489.78,-1421.67,-1928.85,-1865.23,22.727281,116.579986,8825.5,4096.3,891.48
50:46.6,1.74957E+12,FU_073,0,1.74953E+12,1.74954E+12,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,-61.29,-299.78,-196.54,-44.351,44.393,99.921,-28.718,47.496,5.244,-667.26,-367.68,-541.76,1.318,-40.644,-16.876,2931.6,365.88,-817.65,1249.88,1930.3,-52.708336,-79.581954,668.2,5244,533.45
05:22.6,1.74953E+12,FU_024,0,1.7496E+12,1.74952E+12,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,-1181.7,-1362.68,2033.28,89.089,-97.736,-1.55,-16.366,-22.049,23.189,-808.6,-968.82,720.33,15.851,-7.637,15.832,-669.34,-972.38,-2536.2,1340.3,-32.75,61.030866,-60.314398,3907,8173.2,402.84
50:17.7,1.74953E+12,FU_051,0,1.74952E+12,1.74956E+12,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,-3139.72,-2637.42,-1273.34,-65.025,44.568,-5.572,7.192,37.061,25.869,-771.03,114.59,481.74,11.148,34.743,-23.377,1976.71,-2211.97,-1459.09,1304.19,1902.65,-48.054965,-45.192932,6391.1,38,891.59
13:52.9,1.74956E+12,FU_074,1,1.74959E+12,1.74952E+12,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,-2203.94,-2189.71,1613.94,87.581,-67.703,37.516,44.21,13.477,-42.493,50.95,179.81,-86.43,29.428,32.6,-3.606,2139.56,1140.65,464.44,2322.04,-372.26,34.149387,-98.54116,8714.3,5817,994.84
37:51.1,1.74954E+12,FU_088,1,1.7496E+12,1.74958E+12,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,-2605.56,-2449.08,2697.57,33.584,76.942,50.308,-26.919,-6.76,-45.659,595.38,-38.71,-870.48,-15.215,2.637,7.282,-516.8,-2884.44,-523.21,-237.07,322.38,58.793065,5.15787,5432.8,1456.6,843.88
01:30.5,1.74955E+12,FU_016,1,1.74951E+12,1.74958E+12,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,-1451.34,-2004.91,785.42,-58.438,-11.621,57.096,35.094,-23.75,-35.951,-957.89,89.38,-730.9,-11.989,-31.479,-17.617,3113.93,2047.87,-130.42,-1433.74,-575.01,51.585524,103.28335,577.5,3656,73.07
07:40.0,1.74957E+12,FU_099,1,1.74952E+12,1.74951E+12,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,-359.65,-896.91,293.29,-39.633,30.112,71.552,-44.328,-44.9,48.044,59.6,-161.88,-566.39,46.081,-27.942,-5.321,-457.35,1653.89,-3125.63,1601.39,1454.98,0.734345,126.658051,8790.4,7133.6,790.49
31:19.4,1.74957E+12,FU_013,0,1.74952E+12,1.74953E+12,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,-2476.2,-2658.97,2768.67,-9.757,87.486,-20.629,-33.185,-41.397,-3.458,30.29,928.8,-823.26,24.076,-3.941,25.777,1707.77,1603.1,3097.58,-1268.49,1515.19,55.284901,-94.209842,418.3,7561.8,792.66
10:01.5,1.74954E+12,FU_090,0,1.74956E+12,1.74959E+12,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,-60.38,1340.65,-240.2,32.032,37.08,26.804,-2.592,49.321,-41.213,642.86,160.12,644.65,-44.375,-6.856,-17.887,1864.92,-164.8,-402.55,845.3,280.02,-76.011487,-75.435622,5729.5,8100.6,284.67
39:51.8,1.7495E+12,FU_053,0,1.74955E+12,1.74951E+12,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2488.98,709.29,-1780.82,96.307,-57.714,77.116,-13.15,-42.94,-11.139,18.99,175.59,37.69,38.914,-23.799,-10.431,-1181.35,536.12,-2401.23,-1766.34,961.83,6.77568,17.976699,9365.4,8135.7,881.18
48:41.0,1.74953E+12,FU_056,1,1.74957E+12,1.74954E+12,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,910.9,2324.24,-1051.55,43.108,39.733,-64.843,-4.211,-42.804,-35.485,-241.63,978.94,-516.66,-26.866,44.848,38.892,-104.92,-2625.93,-785.14,1633.27,-955.7,87.01488,138.960872,9853.5,3729.6,947.99
29:30.0,1.74951E+12,FU_083,0,1.74957E+12,1.74958E+12,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1560.35,2508.62,-2353.41,96.755,-33.302,17.388,-33.795,-23.792,15.825,569.03,997.77,17.63,-7.842,-42.825,1.015,-2257.03,436.69,-693.98,2412.75,-1461.97,-10.288886,120.00299,7553,75.8,81.17
48:52.9,1.74954E+12,FU_080,1,1.74959E+12,1.74957E+12,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,2876.4,649.01,-1008.17,35.881,-51.487,31.144,32.834,-39.725,-38.016,-55.69,318.35,848.6,-19.132,-17.546,40.725,1267.7,339.47,-900.6,-2757.98,2180.53,-24.612098,-115.074567,963.4,8414.2,42.78
38:15.5,1.74953E+12,FU_065,1,1.74958E+12,1.74957E+12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1418.99,-423.6,1526.7,34.116,-27.332,-76.264,-8.782,12.632,38.874,-842.27,-85.47,860.09,-29.008,-28.324,-19.716,1541.3,-1532.31,1809.76,1819.05,1863.8,4.161023,-120.74135,7083,6620.9,170.13
15:18.9,1.74951E+12,FU_062,1,1.74953E+12,1.74952E+12,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,571.17,-475.85,2920.53,-44.517,-20.284,-74.627,29.083,-42.034,40.906,-636.34,-100.23,-552.38,-40.558,-18.998,-21.009,1888.17,2162.39,2267.05,-310.43,-1896.89,-67.821207,100.040932,6397.8,9714.5,354.87
50:29.0,1.74958E+12,FU_076,1,1.74956E+12,1.74958E+12,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,-2299.22,-2823.65,-1927.09,12.821,-24.229,79.331,17.782,39.604,48.783,262.13,85.59,306.48,12.351,-9.11,42.675,-1036.49,-2062.61,2946.56,1315.64,-2686.89,15.333467,63.750924,9298.7,678.2,809.64
23:16.0,1.74954E+12,FU_081,0,1.74958E+12,1.74954E+12,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2096.29,1613.01,1134.62,-40.757,-91.568,-74.148,-44.652,10.292,-44.997,-985.14,446.04,481.15,46.114,26.857,-1.754,917.72,2463.34,2435.81,-2463.62,2591.38,-16.653319,77.411262,5579.8,6938.1,984.44
36:37.5,1.74957E+12,FU_057,1,1.74958E+12,1.74958E+12,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1734.62,-2618.72,-882.44,52.427,30.326,48.995,-25.092,-3.094,31.089,-161.65,-222.32,-966.65,-27.133,31.092,21.365,-804.83,123.92,2989.63,1725.54,800.53,-18.236412,-121.932087,1021.8,5336.7,833.99
22:55.9,1.74956E+12,FU_090,1,1.7496E+12,1.74952E+12,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,404.13,-948.72,-1978.67,47.855,-17.645,4.175,-46.182,33.415,-6.333,-37.45,501.76,604.31,48.499,28.618,-13.089,-2795.49,1838.21,-1074.59,1157.14,-1829.18,74.123417,162.580345,9012.1,5989.6,301.02
53:25.0,1.74958E+12,FU_040,0,1.74955E+12,1.74951E+12,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,-2522.43,262,-1550.11,-43.594,84.036,9.502,0.061,-2.251,-7.113,172.6,735.71,41.25,-31.925,-10.448,-34.323,-3042.71,1689.97,1727.61,1730.92,920.83,-72.937276,67.53264,4633.8,7582,658.33
25:18.8,1.74957E+12,FU_043,1,1.7495E+12,1.74954E+12,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,-2518.77,2590.39,-2544.49,-30.786,-48.134,-68.132,-0.521,31.456,21.1,-593.5,269.46,146.28,23.887,29.081,-44.274,1181.73,-1026.31,-1710.77,1912.51,2983.5,49.931267,25.786383,5704.6,2494.3,238.97
56:26.4,1.74952E+12,FU_027,1,1.74951E+12,1.74951E+12,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1918.09,971.65,1207.44,-57.712,78.121,89.353,29.196,-43.799,-33.718,-3.85,65.95,582.14,-35.776,15.81,31.017,-65.01,2443.21,2626.62,103.94,1945.95,-33.741396,-28.496202,3239.5,7965.1,425.54
43:47.9,1.74957E+12,FU_092,0,1.74955E+12,1.74956E+12,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,-2448.59,-1433.58,2590.24,46.054,85.243,63.019,-5.997,-42.471,-5.989,741.01,610.68,-344.95,-43.095,23.322,3.899,44.65,1506.45,-2960.84,-128.42,-3031.17,-7.50407,-157.357928,1143.3,51.6,979.16
46:25.1,1.74952E+12,FU_028,1,1.74953E+12,1.74957E+12,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1297.19,1544.05,1800.38,-43.411,49.25,-78.468,-4.559,37.951,-13.768,-699.34,-723.58,875.54,-7.74,-48.318,-24.993,37.49,-2083.99,1545.89,564.23,-2285.91,42.453414,-110.335018,338.7,7783.8,363.94
13:45.8,1.74956E+12,FU_091,1,1.74956E+12,1.74951E+12,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1447.06,-2531.48,1809.26,-97.553,51.066,86.118,-8.912,7.544,5.68,-389.74,-835.87,501.93,10.056,-4.305,-17.181,-2439.26,-2549.75,-2728.5,-3122.11,296.07,-44.233276,-15.555555,5246.4,2675.2,148.38
57:51.9,1.74958E+12,FU_028,1,1.74956E+12,1.74957E+12,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,-1818.15,-632.18,-2620.93,-9.037,93.059,-2.104,1.317,1.745,2.331,-948.52,960.83,407.93,-42.191,-36.77,4.314,-1238.55,-3092.84,1930.25,2031.85,1824.12,34.421229,-56.924218,7429,156.1,337.88
42:28.6,1.74951E+12,FU_002,0,1.74957E+12,1.74954E+12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2177.66,-1706.23,2520.67,-77.958,-90.682,17.197,29.569,-13.993,-39.487,-186.55,-748.41,-665.88,22.264,-47.192,16.874,-1007.82,129.31,-2474.79,-1722.88,-1165.9,47.298197,48.640241,2128.9,9173.4,948.62
07:06.9,1.74959E+12,FU_061,1,1.74956E+12,1.74956E+12,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,-2584.06,-2272.81,-530.72,67.282,78.354,86.137,0.067,36.559,5.875,714.06,-786.04,280.89,-10.413,49.365,36.25,-2489.91,-843.21,-2779.96,2786.76,-25.14,-30.752026,177.522151,4285.2,372.4,658.78
33:35.7,1.74953E+12,FU_057,1,1.74957E+12,1.74958E+12,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,-1403.98,-2213.55,646.19,-14.292,-10.95,67.351,-1.01,-12.522,20.309,39.11,373.79,-206.73,-15.517,46.131,37.322,245.5,432.73,175.69,-3065.63,2087.29,36.613563,-40.89776,1302.8,9950.1,612.06
19:07.3,1.74955E+12,FU_095,1,1.74956E+12,1.74957E+12,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,2470.98,2442.55,-2293.28,-5.192,26.202,30.378,47.436,-47.511,-2.594,352.64,663.48,-126.57,-7.448,-8.179,-43.293,349.74,2336.36,-1114.01,491.96,-2869.28,19.259728,91.938367,1490.7,4766.9,710.35
39:29.1,1.74954E+12,FU_078,0,1.74952E+12,1.74956E+12,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,2436.12,-2439.28,-140.1,52.209,-98.179,41.231,-46.518,-19.815,29.356,-689.6,-487.3,923.59,-13.235,5.208,-2.356,2102.59,2102.26,681.08,1162.91,298.51,-24.30921,166.838613,3745.9,587.2,897.14
04:10.8,1.74952E+12,FU_012,1,1.7496E+12,1.74954E+12,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,516.84,-572.36,767.22,-9.724,10.497,94.635,1.014,42.392,28.671,-326.3,-905.3,227.34,39.714,-47.085,-8.401,-902.36,628.86,2065.57,842.24,-574.14,77.478696,60.592439,2047.2,9231.4,679.41
44:32.8,1.74952E+12,FU_052,1,1.74951E+12,1.74958E+12,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,944.91,2424.53,-3072.83,-60.316,89.676,74.817,-33.439,21.605,-32.597,326.31,-155.17,-134.45,-1.626,-19.122,-41.534,352.62,1883.81,1534.38,-407.75,-2743.79,-1.164178,-17.267317,1943.5,9746.7,145.76
