flightTime,trackId,planId,lng,lat,alt,heading,pitch,roll
2026-06-04 10:00:19.000,drone_002,PLAN1,103.906336,30.705247,563.4,44.16,3.34,0.09
2026-06-04 10:00:19.500,drone_001,PLAN1,104.078706,30.574371,580.9,90.89,3.81,-0.24
2026-06-04 10:00:19.500,drone_002,PLAN1,103.906535,30.70544,565.2,44.69,2.13,0.02
2026-06-04 10:00:20.000,drone_001,PLAN1,104.078967,30.574469,584.9,91.42,4.43,1.06
2026-06-04 10:00:20.000,drone_002,PLAN1,103.906766,30.705558,568.3,44.83,3.69,-0.13
2026-06-04 10:00:20.500,drone_001,PLAN1,104.079115,30.57453,590.1,90.86,4.91,-0.01
2026-06-04 10:00:20.500,drone_002,PLAN1,103.906836,30.705748,572.6,44.77,3.14,-0.24
2026-06-04 10:00:21.000,drone_001,PLAN1,104.07932,30.574677,592.7,91.57,3.32,0.77
2026-06-04 10:00:21.000,drone_002,PLAN1,103.907068,30.705895,576.5,44.5,3.41,-1.62
2026-06-04 10:00:21.500,drone_001,PLAN1,104.079625,30.574748,600.2,91.34,3.98,-0.49
2026-06-04 10:00:21.500,drone_002,PLAN1,103.907147,30.705988,580.6,44.6,3.56,0.34
2026-06-04 10:00:22.000,drone_001,PLAN1,104.079811,30.574885,603.5,91.42,3.78,0.06
2026-06-04 10:00:22.000,drone_002,PLAN1,103.907323,30.706154,582.5,44.57,3.4,1.05
2026-06-04 10:00:22.500,drone_001,PLAN1,104.080009,30.575077,608.7,91.22,4.01,0.22
2026-06-04 10:00:22.500,drone_002,PLAN1,103.907587,30.70627,582.6,44.13,4.15,-0.27
2026-06-04 10:00:23.000,drone_001,PLAN1,104.080236,30.575132,613.5,91.17,3.74,-0.31
2026-06-04 10:00:23.000,drone_002,PLAN1,103.907676,30.706393,590.7,44.46,2.75,-0.54
2026-06-04 10:00:23.500,drone_001,PLAN1,104.080501,30.575246,618.1,91.14,4.29,-0.41
2026-06-04 10:00:23.500,drone_002,PLAN1,103.907835,30.706568,594.2,44.61,3.46,0.27
2026-06-04 10:00:24.000,drone_001,PLAN1,104.080719,30.575367,622.1,91.16,4.03,0.64
2026-06-04 10:00:24.000,drone_002,PLAN1,103.908018,30.706662,596.4,44.0,3.66,1.08
2026-06-04 10:00:24.500,drone_001,PLAN1,104.080966,30.575446,626.6,91.64,4.1,0.01
2026-06-04 10:00:24.500,drone_002,PLAN1,103.908206,30.706838,602.5,44.97,3.29,-0.22
2026-06-04 10:00:25.000,drone_001,PLAN1,104.081126,30.5756,631.7,91.21,4.4,-0.14
2026-06-04 10:00:25.000,drone_002,PLAN1,103.908349,30.706986,605.6,44.13,2.61,-1.02
2026-06-04 10:00:25.500,drone_001,PLAN1,104.081368,30.5757,636.2,91.06,5.02,-0.5
2026-06-04 10:00:25.500,drone_002,PLAN1,103.908541,30.707116,608.9,44.89,4.3,-0.14
2026-06-04 10:00:26.000,drone_001,PLAN1,104.081622,30.575818,642.8,91.18,4.29,-0.01
2026-06-04 10:00:26.000,drone_002,PLAN1,103.908642,30.707234,613.6,45.3,3.51,0.36
2026-06-04 10:00:26.500,drone_001,PLAN1,104.081748,30.575958,647.1,91.88,4.37,0.31
2026-06-04 10:00:26.500,drone_002,PLAN1,103.908846,30.70735,616.0,44.69,3.02,0.06
2026-06-04 10:00:27.000,drone_001,PLAN1,104.08202,30.576023,653.2,91.36,4.41,0.58
2026-06-04 10:00:27.000,drone_002,PLAN1,103.909059,30.707528,621.8,44.76,3.67,-0.26
2026-06-04 10:00:27.500,drone_001,PLAN1,104.082235,30.576122,658.4,91.48,4.71,0.43
2026-06-04 10:00:27.500,drone_002,PLAN1,103.909192,30.707641,625.2,44.46,3.16,0.52
2026-06-04 10:00:28.000,drone_001,PLAN1,104.082479,30.576209,663.5,91.31,3.83,0.16
2026-06-04 10:00:28.000,drone_002,PLAN1,103.909364,30.707817,629.7,43.92,3.13,0.16
2026-06-04 10:00:28.500,drone_001,PLAN1,104.082717,30.576354,667.6,91.73,3.55,-0.17
2026-06-04 10:00:28.500,drone_002,PLAN1,103.9096,30.707962,634.4,44.62,4.1,-0.16
2026-06-04 10:00:29.000,drone_001,PLAN1,104.082927,30.576492,675.2,91.74,4.0,1.14
2026-06-04 10:00:29.000,drone_002,PLAN1,103.909718,30.70799,638.7,43.89,4.0,0.08
2026-06-04 10:00:29.500,drone_001,PLAN1,104.083212,30.576551,681.2,91.4,4.06,1.09
2026-06-04 10:00:29.500,drone_002,PLAN1,103.909921,30.708194,646.7,44.27,3.47,0.83
2026-06-04 10:00:30.000,drone_001,PLAN1,104.083345,30.576667,684.0,91.72,3.71,-0.38
2026-06-04 10:00:30.000,drone_002,PLAN1,103.910037,30.708412,649.7,43.71,3.72,-0.97
2026-06-04 10:00:30.500,drone_001,PLAN1,104.083536,30.576808,692.6,92.14,4.46,0.37
2026-06-04 10:00:30.500,drone_002,PLAN1,103.910173,30.7085,654.4,44.72,3.93,-0.71
2026-06-04 10:00:31.000,drone_001,PLAN1,104.083837,30.576904,697.9,91.4,3.83,0.15
2026-06-04 10:00:31.000,drone_002,PLAN1,103.910343,30.708627,657.4,43.88,4.88,0.12
2026-06-04 10:00:31.500,drone_001,PLAN1,104.084036,30.577057,702.4,91.77,3.67,0.0
2026-06-04 10:00:31.500,drone_002,PLAN1,103.910538,30.70878,663.7,44.34,3.48,-0.21
2026-06-04 10:00:32.000,drone_001,PLAN1,104.084248,30.57715,709.0,91.94,3.9,0.06
2026-06-04 10:00:32.000,drone_002,PLAN1,103.91069,30.708878,669.5,44.26,2.6,0.76
2026-06-04 10:00:32.500,drone_001,PLAN1,104.084516,30.577289,715.4,92.42,3.82,0.12
2026-06-04 10:00:32.500,drone_002,PLAN1,103.910859,30.709046,673.0,44.44,3.47,-0.11
2026-06-04 10:00:33.000,drone_001,PLAN1,104.084711,30.5774,722.6,91.89,4.55,0.51
2026-06-04 10:00:33.000,drone_002,PLAN1,103.911035,30.709214,679.0,43.67,3.73,-0.49
2026-06-04 10:00:33.500,drone_001,PLAN1,104.08495,30.577506,727.8,91.34,4.32,0.53
2026-06-04 10:00:33.500,drone_002,PLAN1,103.911188,30.709368,683.0,44.83,3.66,0.7
2026-06-04 10:00:34.000,drone_001,PLAN1,104.085118,30.577515,734.8,91.92,4.33,0.75
2026-06-04 10:00:34.000,drone_002,PLAN1,103.911349,30.709464,688.2,43.91,3.58,0.19
2026-06-04 10:00:34.500,drone_001,PLAN1,104.085405,30.577698,741.5,91.42,4.37,-0.14
2026-06-04 10:00:34.500,drone_002,PLAN1,103.911487,30.709593,693.7,44.33,3.92,1.1
2026-06-04 10:00:35.000,drone_001,PLAN1,104.085599,30.577812,749.2,91.93,3.25,-0.06
2026-06-04 10:00:35.000,drone_002,PLAN1,103.911697,30.709723,697.9,44.1,3.24,0.33
2026-06-04 10:00:35.500,drone_001,PLAN1,104.085833,30.577883,754.2,92.26,3.44,-0.03
2026-06-04 10:00:35.500,drone_002,PLAN1,103.911884,30.709854,704.1,44.34,3.81,0.05
2026-06-04 10:00:36.000,drone_001,PLAN1,104.086015,30.578037,760.8,91.69,3.58,-0.05
2026-06-04 10:00:36.000,drone_002,PLAN1,103.912016,30.71004,707.9,44.0,2.73,0.39
2026-06-04 10:00:36.500,drone_001,PLAN1,104.086269,30.578065,768.0,92.39,3.99,0.26
2026-06-04 10:00:36.500,drone_002,PLAN1,103.912195,30.710161,713.1,44.05,3.07,0.4
2026-06-04 10:00:37.000,drone_001,PLAN1,104.086516,30.578227,774.1,91.69,4.26,-0.27
2026-06-04 10:00:37.000,drone_002,PLAN1,103.912371,30.710316,720.0,43.53,4.15,0.06
2026-06-04 10:00:37.500,drone_001,PLAN1,104.086668,30.578398,783.4,92.18,3.85,0.29
2026-06-04 10:00:37.500,drone_002,PLAN1,103.91251,30.710467,724.0,44.12,2.85,-0.03
2026-06-04 10:00:38.000,drone_001,PLAN1,104.087028,30.578502,788.6,92.18,3.49,-0.8
2026-06-04 10:00:38.000,drone_002,PLAN1,103.912726,30.71061,731.4,44.23,2.73,-0.03
2026-06-04 10:00:38.500,drone_001,PLAN1,104.087153,30.578578,794.6,92.04,3.65,-0.39
2026-06-04 10:00:38.500,drone_002,PLAN1,103.912876,30.710759,737.2,43.22,3.45,0.68
2026-06-04 10:00:39.000,drone_001,PLAN1,104.087388,30.578718,803.8,92.17,4.3,-0.44
2026-06-04 10:00:39.000,drone_002,PLAN1,103.913098,30.710812,741.6,44.22,3.51,-0.07
2026-06-04 10:00:39.500,drone_001,PLAN1,104.08765,30.578818,808.9,91.79,3.88,-0.44
2026-06-04 10:00:39.500,drone_002,PLAN1,103.913228,30.710972,747.3,44.0,3.22,0.22
2026-06-04 10:00:40.000,drone_001,PLAN1,104.087855,30.578971,815.7,92.08,4.25,-0.33
2026-06-04 10:00:40.000,drone_002,PLAN1,103.913334,30.711155,753.5,44.38,2.62,-0.22
2026-06-04 10:00:40.500,drone_001,PLAN1,104.088025,30.579009,821.9,92.23,4.31,0.2
2026-06-04 10:00:40.500,drone_002,PLAN1,103.913515,30.711279,758.9,43.92,3.9,-0.14
2026-06-04 10:00:41.000,drone_001,PLAN1,104.08828,30.579145,831.0,92.35,3.71,0.26
2026-06-04 10:00:41.000,drone_002,PLAN1,103.913709,30.711426,765.3,44.28,3.79,-0.4
2026-06-04 10:00:41.500,drone_001,PLAN1,104.088446,30.579264,838.4,91.77,4.26,-0.38
2026-06-04 10:00:41.500,drone_002,PLAN1,103.913835,30.711554,773.1,43.99,4.16,1.02
2026-06-04 10:00:42.000,drone_001,PLAN1,104.08867,30.579361,846.8,91.84,3.52,0.32
2026-06-04 10:00:42.000,drone_002,PLAN1,103.914043,30.711669,777.5,43.49,3.47,0.39
2026-06-04 10:00:42.500,drone_001,PLAN1,104.089025,30.579422,853.9,92.6,3.77,-0.3
2026-06-04 10:00:42.500,drone_002,PLAN1,103.914236,30.711839,782.4,43.17,4.33,-0.38
2026-06-04 10:00:43.000,drone_001,PLAN1,104.089198,30.579605,860.9,92.09,5.19,-0.89
2026-06-04 10:00:43.000,drone_002,PLAN1,103.914387,30.711945,790.3,44.22,3.34,0.3
2026-06-04 10:00:43.500,drone_001,PLAN1,104.089398,30.579675,869.4,92.5,3.89,0.58
2026-06-04 10:00:43.500,drone_002,PLAN1,103.91456,30.712097,793.9,43.66,3.49,-0.23
2026-06-04 10:00:44.000,drone_001,PLAN1,104.08962,30.579793,876.5,92.32,3.76,0.2
2026-06-04 10:00:44.000,drone_002,PLAN1,103.914686,30.712278,799.0,43.84,4.25,0.5
2026-06-04 10:00:44.500,drone_001,PLAN1,104.089767,30.579927,884.5,92.87,4.45,-0.13
2026-06-04 10:00:44.500,drone_002,PLAN1,103.914865,30.712395,809.7,43.99,2.87,0.99
2026-06-04 10:00:45.000,drone_001,PLAN1,104.090035,30.579961,893.6,92.51,3.55,-0.79
2026-06-04 10:00:45.000,drone_002,PLAN1,103.915054,30.712505,814.6,43.46,3.17,0.63
2026-06-04 10:00:45.500,drone_001,PLAN1,104.090303,30.580073,900.7,92.88,4.36,-0.74
2026-06-04 10:00:45.500,drone_002,PLAN1,103.915258,30.712652,821.1,44.27,3.22,0.6
2026-06-04 10:00:46.000,drone_001,PLAN1,104.090512,30.580238,909.0,92.64,5.11,0.09
2026-06-04 10:00:46.000,drone_002,PLAN1,103.915368,30.712748,826.0,44.25,4.75,-0.3
2026-06-04 10:00:46.500,drone_001,PLAN1,104.090691,30.580338,917.9,92.84,4.17,-0.17
2026-06-04 10:00:46.500,drone_002,PLAN1,103.915575,30.712928,832.5,43.88,3.83,0.0
2026-06-04 10:00:47.000,drone_001,PLAN1,104.090986,30.58046,924.0,92.91,3.7,0.48
2026-06-04 10:00:47.000,drone_002,PLAN1,103.915717,30.713106,839.1,44.08,3.65,-0.46
2026-06-04 10:00:47.500,drone_001,PLAN1,104.091182,30.580641,931.8,93.1,3.35,-0.89
2026-06-04 10:00:47.500,drone_002,PLAN1,103.915908,30.713216,845.9,43.16,3.44,-0.5
2026-06-04 10:00:48.000,drone_001,PLAN1,104.091412,30.580695,941.0,92.71,3.41,1.22
2026-06-04 10:00:48.000,drone_002,PLAN1,103.916081,30.713349,852.3,43.51,3.17,-0.13
2026-06-04 10:00:48.500,drone_001,PLAN1,104.091669,30.580826,949.1,92.36,4.19,0.13
2026-06-04 10:00:48.500,drone_002,PLAN1,103.916226,30.713551,860.4,44.16,3.89,0.32
2026-06-04 10:00:49.000,drone_001,PLAN1,104.091798,30.580976,957.4,92.96,4.02,-0.05
2026-06-04 10:00:49.000,drone_002,PLAN1,103.916389,30.713668,865.4,43.63,2.85,-0.34
2026-06-04 10:00:49.500,drone_001,PLAN1,104.092063,30.581063,963.8,92.63,4.74,-0.08
2026-06-04 10:00:49.500,drone_002,PLAN1,103.916558,30.713766,871.9,43.66,3.54,-0.78
2026-06-04 10:00:50.000,drone_001,PLAN1,104.092254,30.581092,974.7,92.4,4.01,-0.64
2026-06-04 10:00:50.000,drone_002,PLAN1,103.916704,30.713901,879.1,43.75,2.69,0.04
2026-06-04 10:00:50.500,drone_001,PLAN1,104.092462,30.581246,981.2,92.42,3.9,-0.0
2026-06-04 10:00:50.500,drone_002,PLAN1,103.91687,30.714131,885.7,43.81,4.11,-0.2
2026-06-04 10:00:51.000,drone_001,PLAN1,104.092754,30.58136,991.8,93.0,3.05,-0.51
2026-06-04 10:00:51.000,drone_002,PLAN1,103.917075,30.714212,890.3,43.74,3.54,0.62
2026-06-04 10:00:51.500,drone_001,PLAN1,104.092945,30.581443,1001.9,92.86,4.0,0.01
2026-06-04 10:00:51.500,drone_002,PLAN1,103.917267,30.71436,899.7,43.6,3.39,0.27
2026-06-04 10:00:52.000,drone_001,PLAN1,104.093181,30.581583,1007.3,92.73,3.7,-0.02
2026-06-04 10:00:52.000,drone_002,PLAN1,103.917359,30.714475,905.4,44.04,3.54,0.08
2026-06-04 10:00:52.500,drone_001,PLAN1,104.09344,30.581619,1014.4,92.99,3.35,-0.59
2026-06-04 10:00:52.500,drone_002,PLAN1,103.917554,30.714605,911.6,43.7,3.85,-0.13
2026-06-04 10:00:53.000,drone_001,PLAN1,104.09363,30.581803,1025.0,92.55,4.24,0.42
2026-06-04 10:00:53.000,drone_002,PLAN1,103.917772,30.714699,919.4,43.03,3.43,0.73
2026-06-04 10:00:53.500,drone_001,PLAN1,104.093872,30.58196,1034.6,93.13,3.41,-0.26
2026-06-04 10:00:53.500,drone_002,PLAN1,103.917873,30.714907,927.9,43.04,3.25,0.64
2026-06-04 10:00:54.000,drone_001,PLAN1,104.09403,30.582055,1042.4,93.14,3.79,0.36
2026-06-04 10:00:54.000,drone_002,PLAN1,103.918038,30.715032,934.3,43.62,2.55,0.68
2026-06-04 10:00:54.500,drone_001,PLAN1,104.094339,30.582115,1050.8,93.57,3.5,-0.83
2026-06-04 10:00:54.500,drone_002,PLAN1,103.918175,30.715234,938.6,43.66,3.15,-0.23
2026-06-04 10:00:55.000,drone_001,PLAN1,104.094475,30.582232,1061.6,92.64,3.1,0.38
2026-06-04 10:00:55.000,drone_002,PLAN1,103.918391,30.715315,948.2,43.69,3.04,-0.75
2026-06-04 10:00:55.500,drone_001,PLAN1,104.094673,30.582419,1069.4,93.21,3.92,-0.27
2026-06-04 10:00:55.500,drone_002,PLAN1,103.918501,30.715487,955.9,42.92,3.3,0.85
2026-06-04 10:00:56.000,drone_001,PLAN1,104.094957,30.582512,1078.3,93.1,4.05,-0.18
2026-06-04 10:00:56.000,drone_002,PLAN1,103.918682,30.715583,962.2,43.38,4.26,0.02
2026-06-04 10:00:56.500,drone_001,PLAN1,104.095246,30.582611,1086.5,93.18,3.76,-0.64
2026-06-04 10:00:56.500,drone_002,PLAN1,103.918852,30.715703,971.0,43.24,2.96,0.25
2026-06-04 10:00:57.000,drone_001,PLAN1,104.095355,30.582719,1098.2,93.33,4.33,-0.23
2026-06-04 10:00:57.000,drone_002,PLAN1,103.919101,30.715854,978.1,42.82,3.62,0.13
2026-06-04 10:00:57.500,drone_001,PLAN1,104.095634,30.582843,1106.9,92.82,4.48,-0.92
2026-06-04 10:00:57.500,drone_002,PLAN1,103.919244,30.716008,983.9,43.67,3.41,0.92
2026-06-04 10:00:58.000,drone_001,PLAN1,104.095831,30.582926,1114.9,93.0,3.61,0.09
2026-06-04 10:00:58.000,drone_002,PLAN1,103.919374,30.716119,992.7,43.36,3.95,0.35
2026-06-04 10:00:58.500,drone_001,PLAN1,104.096027,30.583012,1124.9,92.73,3.53,0.29
2026-06-04 10:00:58.500,drone_002,PLAN1,103.919623,30.716253,999.6,43.63,4.36,-0.16
2026-06-04 10:00:59.000,drone_001,PLAN1,104.096358,30.583138,1132.8,92.83,4.06,0.3
2026-06-04 10:00:59.000,drone_002,PLAN1,103.919692,30.716414,1006.6,43.83,3.93,0.56
2026-06-04 10:00:59.500,drone_001,PLAN1,104.096595,30.583256,1143.1,93.85,3.62,-0.02
2026-06-04 10:00:59.500,drone_002,PLAN1,103.919921,30.716572,1014.2,43.6,3.43,-0.53
2026-06-04 10:01:00.000,drone_001,PLAN1,104.096722,30.583425,1152.0,93.63,3.69,0.32
2026-06-04 10:01:00.000,drone_002,PLAN1,103.920094,30.716787,1021.3,43.29,3.01,-0.16
2026-06-04 10:01:00.500,drone_001,PLAN1,104.096911,30.583516,1159.2,93.41,3.86,0.53
2026-06-04 10:01:00.500,drone_002,PLAN1,103.920249,30.716862,1027.3,43.36,4.22,1.02
2026-06-04 10:01:01.000,drone_001,PLAN1,104.097211,30.583612,1171.2,93.59,4.5,-0.23
2026-06-04 10:01:01.000,drone_002,PLAN1,103.920405,30.716998,1036.5,43.57,3.47,-0.02
2026-06-04 10:01:01.500,drone_001,PLAN1,104.097422,30.583711,1179.6,93.74,3.33,-0.54
2026-06-04 10:01:01.500,drone_002,PLAN1,103.920523,30.717137,1044.7,43.48,3.47,0.42
2026-06-04 10:01:02.000,drone_001,PLAN1,104.097631,30.583837,1188.8,93.3,3.99,0.47
2026-06-04 10:01:02.000,drone_002,PLAN1,103.920728,30.717287,1051.2,43.71,3.46,0.2
2026-06-04 10:01:02.500,drone_001,PLAN1,104.097813,30.583943,1197.2,93.52,4.61,-0.13
2026-06-04 10:01:02.500,drone_002,PLAN1,103.920898,30.717422,1060.0,43.12,3.1,-0.06
2026-06-04 10:01:03.000,drone_001,PLAN1,104.09809,30.583981,1207.1,93.59,4.49,0.43
2026-06-04 10:01:03.000,drone_002,PLAN1,103.921023,30.717539,1067.3,43.29,3.82,0.32
2026-06-04 10:01:03.500,drone_001,PLAN1,104.098303,30.584182,1216.7,93.43,4.68,1.15
2026-06-04 10:01:03.500,drone_002,PLAN1,103.921254,30.717713,1073.9,43.3,2.48,-0.86
2026-06-04 10:01:04.000,drone_001,PLAN1,104.09851,30.584305,1228.4,93.48,3.71,-0.21
2026-06-04 10:01:04.000,drone_002,PLAN1,103.921386,30.717849,1081.4,43.46,3.45,-1.21
2026-06-04 10:01:04.500,drone_001,PLAN1,104.098716,30.584342,1234.5,93.8,3.37,-0.54
2026-06-04 10:01:04.500,drone_002,PLAN1,103.921566,30.717959,1090.6,43.66,2.79,-0.38
2026-06-04 10:01:05.000,drone_001,PLAN1,104.098964,30.58446,1248.4,94.11,3.64,0.58
2026-06-04 10:01:05.000,drone_002,PLAN1,103.921731,30.718132,1098.9,43.11,3.19,-0.05
2026-06-04 10:01:05.500,drone_001,PLAN1,104.099173,30.58458,1255.1,94.01,3.69,-0.32
2026-06-04 10:01:05.500,drone_002,PLAN1,103.921928,30.718213,1105.1,43.32,3.92,0.17
